Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled
2008,1,3,4,1548,1540,1732,1720,2786,104,100,88,12,8,602,8,8,0
2008,1,3,4,1554,1540,1732,1720,2734,98,100,77,12,14,534,12,9,0
2008,1,3,4,1910,1845,2026,1950,2021,76,65,42,36,25,236,25,9,0
2008,1,3,4,1343,1345,1343,1350,221,60,65,46,-7,-2,256,7,7,0
2008,1,3,4,934,935,1453,1505,830,199,210,177,-12,-1,1521,6,16,0
2008,1,3,4,1713,1710,1823,1835,348,70,85,57,-12,3,290,3,10,0
2008,1,3,4,1039,1040,1132,1150,535,233,250,219,-18,-1,1591,7,7,0
2008,1,3,4,1203,1155,1314,1310,876,71,75,57,4,8,389,5,9,0
2008,1,3,4,1708,1645,1815,1755,1192,67,70,55,20,23,303,3,9,0
2008,1,3,4,729,725,1012,1005,2620,163,160,145,7,4,1050,5,13,0
2008,1,3,4,1641,1610,2041,2030,1929,180,200,164,11,31,1444,5,11,0
2008,1,3,4,1741,1640,2027,1920,2282,106,100,83,67,61,588,3,20,0
2008,1,3,4,2332,2115,216,30,3680,164,195,155,106,137,1142,3,6,0
2008,1,3,4,1535,1535,1603,1610,2804,88,95,74,-7,0,484,5,9,0
2008,1,3,4,1015,955,1218,1200,1567,63,65,52,18,20,229,5,6,0
2008,1,3,4,1147,1100,1541,1500,2382,114,120,90,41,47,775,4,20,0
2008,1,3,4,1334,1300,1857,1825,730,203,205,177,32,34,1489,4,22,0
2008,1,3,4,1937,1915,2132,2135,1772,115,140,98,-3,22,742,4,13,0
2008,1,3,4,1709,1555,2106,2005,891,177,190,163,61,74,1448,3,11,0
2008,1,3,4,2007,1930,2106,2040,570,59,70,53,26,37,303,2,4,0
2008,1,3,4,756,755,857,905,2724,61,70,49,-8,1,267,5,7,0
2008,1,3,4,646,645,752,755,2189,66,70,46,-3,1,318,13,7,0
2008,1,3,4,1738,1720,1848,1835,225,70,75,58,13,18,390,4,8,0
2008,1,3,4,2155,1955,2308,2120,777,73,85,53,108,120,337,5,15,0
2008,1,3,4,1943,1905,2047,2005,2336,124,120,110,42,38,646,4,10,0
2008,1,3,4,1250,1235,1605,1555,327,135,140,121,10,15,972,5,9,0
2008,1,3,4,1704,1645,1929,1930,340,145,165,129,-1,19,866,7,9,0
2008,1,3,4,728,625,910,820,3266,102,115,87,50,63,587,4,11,0
2008,1,3,4,1743,1720,1754,1730,966,71,70,58,24,23,325,4,9,0
2008,1,3,4,0,1550,0,1715,2525,0,85,0,0,0,446,0,0,1
2008,1,3,4,2018,2005,2127,2120,943,69,75,60,7,13,417,1,8,0
2008,1,3,4,2047,2005,2209,2115,2367,82,70,45,54,42,236,7,30,0
2008,1,3,4,643,630,726,720,1235,103,110,83,6,13,533,9,11,0
2008,1,3,4,2208,2125,2259,2225,393,51,60,40,34,43,251,3,8,0
2008,1,3,4,1257,1250,1413,1410,639,76,80,63,3,7,446,3,10,0
2008,1,3,4,1947,1935,2110,2100,727,83,85,65,10,12,405,4,14,0
2008,1,3,4,1925,1750,2045,1910,3919,80,80,61,95,95,423,6,13,0
2008,1,3,4,2140,2035,2249,2140,1113,69,65,54,69,65,308,6,9,0
2008,1,3,4,1836,1750,1902,1810,806,86,80,70,52,46,369,3,13,0
2008,1,3,4,1748,1735,2024,2010,3584,276,275,259,14,13,1750,8,9,0
2008,1,3,4,1629,1620,1821,1825,1493,172,185,157,-4,9,1072,4,11,0
2008,1,3,4,1446,1430,1615,1555,1112,89,85,78,20,16,446,3,8,0
2008,1,3,4,1628,1550,1819,1735,2441,111,105,100,44,38,569,5,6,0
2008,1,3,4,1003,945,1551,1540,243,228,235,203,11,18,1788,13,12,0
2008,1,3,4,2106,1910,2241,2050,3839,95,100,81,111,116,447,5,9,0
2008,1,3,4,822,750,1048,1045,511,146,175,136,3,32,1036,3,7,0
2008,1,3,4,1149,1135,1422,1415,1231,93,100,83,7,14,601,4,6,0
2008,1,3,4,1929,1855,2031,2005,361,62,70,50,26,34,308,7,5,0
2008,1,3,4,2239,2115,2358,2240,3491,79,85,67,78,84,423,2,10,0
2008,1,3,4,2118,2015,2224,2115,219,66,60,46,69,63,223,3,17,0
2008,1,3,4,1648,1635,1740,1735,3941,112,120,98,5,13,647,4,10,0
2008,1,3,4,1730,1620,2028,1920,1484,298,300,276,68,70,1848,8,14,0
2008,1,3,4,734,730,958,1020,550,324,350,314,-22,4,2283,2,8,0
2008,1,3,4,1840,1820,2127,2110,1747,107,110,94,17,20,689,1,12,0
2008,1,3,4,1917,1855,1959,1940,977,102,105,88,19,22,533,6,8,0
2008,1,3,4,1429,1315,1532,1430,1574,63,75,46,62,74,267,6,11,0
2008,1,3,4,630,630,809,805,1163,99,95,73,4,0,446,4,22,0
2008,1,3,4,916,915,1054,1050,380,98,95,81,4,1,564,5,12,0
2008,1,3,4,2010,1955,2109,2100,1415,59,65,41,9,15,328,5,13,0
2008,1,3,4,1824,1725,121,45,1509,237,260,222,36,59,2027,2,13,0
2008,1,3,4,1251,1235,1415,1405,33,84,90,70,10,16,461,4,10,0
2008,1,3,4,940,920,1149,1135,1155,69,75,52,14,20,370,6,11,0
2008,1,3,4,645,635,921,915,2281,156,160,139,6,10,1073,4,13,0
2008,1,3,4,1615,1540,1741,1705,2632,86,85,65,36,35,407,5,16,0
2008,1,3,4,1815,1755,1923,1915,581,68,80,54,8,20,395,4,10,0
2008,1,3,4,1527,1515,1648,1645,3053,81,90,68,3,12,397,4,9,0
2008,1,3,4,1149,1115,1416,1400,3763,147,165,135,16,34,937,3,9,0
2008,1,3,4,0,1500,0,1615,495,0,75,0,0,0,337,0,0,1
2008,1,3,4,1416,1325,1512,1435,54,56,70,49,37,51,220,2,5,0
2008,1,3,4,1346,1335,1554,1540,2801,128,125,111,14,11,787,4,13,0
2008,1,3,4,0,1445,0,1550,2205,0,65,0,0,0,251,0,0,1
2008,1,3,4,902,900,959,955,130,57,55,44,4,2,248,3,10,0
2008,1,3,4,1652,1635,1938,1930,753,106,115,85,8,17,646,5,16,0
2008,1,3,4,638,630,859,855,806,81,85,72,4,8,487,4,5,0
2008,1,3,4,712,700,926,915,1232,134,135,120,11,12,742,5,9,0
2008,1,3,4,703,705,808,810,7,65,65,48,-2,-2,296,3,14,0
2008,1,3,4,654,655,753,750,3947,59,55,41,3,-1,248,3,15,0
2008,1,3,4,1957,1935,2348,2340,1214,171,185,158,8,22,1455,2,11,0
2008,1,3,4,655,700,830,815,2206,95,75,75,15,-5,336,4,16,0
2008,1,3,4,1609,1600,1819,1815,90,70,75,56,4,9,370,5,9,0
2008,1,3,4,849,835,958,1000,2293,69,85,50,-2,14,336,3,16,0
2008,1,3,4,1053,1055,1245,1240,433,112,105,96,5,-2,663,7,9,0
2008,1,3,4,1538,1445,1753,1710,500,75,85,60,43,53,487,4,11,0
2008,1,3,4,1139,1100,1334,1245,73,115,105,100,49,39,605,5,10,0
2008,1,3,4,747,750,843,850,3250,56,60,42,-7,-3,226,4,10,0
2008,1,3,4,1036,1025,1150,1135,213,74,70,53,15,11,258,11,10,0
2008,1,3,4,630,630,716,715,476,46,45,32,1,0,192,4,10,0
2008,1,3,4,1558,1530,2049,2040,1050,171,190,150,9,28,1372,4,17,0
2008,1,3,4,1640,1545,1746,1700,2028,66,75,56,46,55,342,3,7,0
2008,1,3,4,1245,1240,1349,1340,331,124,120,111,9,5,647,5,8,0
2008,1,3,4,1156,1155,1221,1205,585,85,70,57,16,1,304,3,25,0
2008,1,3,4,721,720,742,745,3681,81,85,70,-3,1,369,2,9,0
2008,1,3,4,2035,2020,2209,2150,3135,94,90,81,19,15,407,3,10,0
2008,1,3,4,1544,1500,1704,1610,434,80,70,58,54,44,290,3,19,0
2008,1,3,4,1644,1510,1845,1725,1333,121,135,107,80,94,828,6,8,0
2008,1,3,4,2057,2100,2206,2215,3918,69,75,57,-9,-3,328,4,8,0
2008,1,3,4,0,1930,0,2035,2528,0,65,0,0,0,308,0,0,1
2008,1,3,4,1435,1315,1859,1755,479,144,160,132,64,80,1099,3,9,0
2008,1,3,4,820,815,1357,1400,133,217,225,200,-3,5,1797,6,11,0
2008,1,3,4,1100,1020,1210,1145,2719,70,85,54,25,40,345,4,12,0
2008,1,3,4,1508,1430,1700,1630,3844,232,240,220,30,38,1521,4,8,0
2008,1,3,4,1016,1010,1124,1125,463,68,75,53,-1,6,308,10,5,0
2008,1,3,4,1706,1650,1707,1655,675,61,65,44,12,16,256,7,10,0
2008,1,3,4,1740,1715,1835,1815,3238,115,120,97,20,25,616,5,13,0
2008,1,3,4,1812,1715,2054,2025,2789,102,130,86,29,57,668,6,10,0
2008,1,3,4,1312,1255,1407,1355,2121,55,60,38,12,17,279,4,13,0
2008,1,3,4,2118,2015,144,50,2021,146,155,127,54,63,1090,5,14,0
2008,1,3,4,1230,1230,1324,1335,647,54,65,41,-11,0,328,4,9,0
2008,1,3,4,1657,1310,2247,1920,106,230,250,206,207,227,1855,15,9,0
2008,1,3,4,610,610,807,820,885,57,70,45,-13,0,325,3,9,0
2008,1,3,4,2059,2005,19,2335,1189,140,150,127,44,54,989,4,9,0
2008,1,3,4,644,640,754,740,3772,70,60,40,14,4,180,5,25,0
2008,1,3,4,832,835,925,935,1776,53,60,46,-10,-3,296,1,6,0
2008,1,3,4,806,805,909,910,3748,63,65,49,-1,1,296,6,8,0
2008,1,3,4,717,720,931,935,781,74,75,58,-4,-3,399,3,13,0
2008,1,3,4,1627,1630,1710,1720,1305,43,50,29,-10,-3,133,6,8,0
2008,1,3,4,1635,1630,1715,1725,426,100,115,87,-10,5,550,3,10,0
2008,1,3,4,1247,1210,1358,1325,813,71,75,60,33,37,395,5,6,0
2008,1,3,4,1211,1145,1750,1720,693,219,215,175,30,26,1521,23,21,0
2008,1,3,4,811,755,937,935,2298,206,220,187,2,16,1333,12,7,0
2008,1,3,4,958,1000,1054,1105,2009,56,65,47,-11,-2,342,2,7,0
2008,1,3,4,1653,1605,1806,1715,1004,73,70,51,51,48,308,5,17,0
2008,1,3,4,701,700,1308,1310,899,247,250,235,-2,1,1999,3,9,0
2008,1,3,4,1527,1505,1527,1505,538,60,60,45,22,22,256,7,8,0
2008,1,3,4,1312,1300,1546,1550,1397,154,170,140,-4,12,972,7,7,0
2008,1,3,4,1609,1540,1732,1700,709,83,80,55,32,29,345,7,21,0
2008,1,3,4,2120,2100,2210,2200,812,50,60,37,10,20,197,8,5,0
2008,1,3,4,1945,1930,2110,2055,2269,85,85,61,15,15,446,3,21,0
2008,1,3,4,1459,1425,1602,1535,1081,63,70,50,27,34,308,6,7,0
2008,1,3,4,1140,1120,1255,1240,397,75,80,62,15,20,390,7,6,0
2008,1,3,4,950,925,1107,1050,449,77,85,64,17,25,405,4,9,0
2008,1,3,4,1126,1125,1247,1255,3767,141,150,129,-8,1,843,3,9,0
2008,1,3,4,2000,1935,2203,2145,2361,183,190,159,18,25,1107,4,20,0
2008,1,3,4,1424,1355,1620,1600,823,56,65,42,20,29,271,5,9,0
2008,1,3,4,2140,2000,2,2230,421,262,270,242,92,100,1733,4,16,0
2008,1,3,4,2230,2125,3,2310,343,93,105,82,53,65,569,4,7,0
