Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled
2008,1,3,4,705,700,856,845,474,111,105,92,11,5,605,5,14,0
2008,1,3,4,842,835,1006,1000,505,84,85,73,6,7,479,3,8,0
2008,1,3,4,830,730,1010,925,1035,100,115,87,45,60,666,3,10,0
2008,1,3,4,626,630,740,740,1683,74,70,46,0,-4,267,7,21,0
2008,1,3,4,933,925,1048,1105,530,75,100,65,-17,8,488,4,6,0
2008,1,3,4,1703,1645,33,35,767,270,290,257,-2,18,2356,4,9,0
2008,1,3,4,0,1430,0,1555,801,0,85,0,0,0,337,0,0,1
2008,1,3,4,1242,1240,1254,1245,1245,72,65,48,9,2,256,15,9,0
2008,1,3,4,708,630,846,800,643,98,90,67,46,38,414,8,23,0
2008,1,3,4,701,700,941,955,85,100,115,84,-14,1,629,9,7,0
2008,1,3,4,620,620,626,625,2121,66,65,49,1,0,254,8,9,0
2008,1,3,4,2118,2005,154,50,411,156,165,131,64,73,1140,7,18,0
2008,1,3,4,956,950,1554,1600,496,238,250,221,-6,6,1912,3,14,0
2008,1,3,4,1118,1105,1220,1220,983,62,75,50,0,13,328,4,8,0
2008,1,3,4,1136,1130,1249,1245,144,73,75,58,4,6,336,6,9,0
2008,1,3,4,1112,1055,1623,1625,1034,191,210,172,-2,17,1489,10,9,0
2008,1,3,4,1012,950,1113,1050,779,61,60,39,23,22,178,6,16,0
2008,1,3,4,1309,1230,1455,1425,914,226,235,214,30,39,1481,4,8,0
2008,1,3,4,615,615,724,735,971,69,80,60,-11,0,359,2,7,0
2008,1,3,4,601,600,719,720,1940,78,80,68,-1,1,444,3,7,0
2008,1,3,4,1120,1120,1248,1250,493,88,90,76,-2,0,446,3,9,0
2008,1,3,4,1832,1655,148,30,302,256,275,243,78,97,2237,3,10,0
2008,1,3,4,1252,1245,1404,1405,449,72,80,61,-1,7,419,3,8,0
2008,1,3,4,1034,1030,1142,1145,640,68,75,57,-3,4,395,5,6,0
2008,1,3,4,612,610,744,755,762,92,105,82,-11,2,543,3,7,0
2008,1,3,4,1053,1050,1213,1220,553,80,90,55,-7,3,337,9,16,0
2008,1,3,4,1023,1005,1117,1100,1414,54,55,45,17,18,210,3,6,0
2008,1,3,4,1824,1725,121,45,1509,237,260,222,36,59,2027,2,13,0
2008,1,3,4,1127,1105,1235,1230,1837,128,145,114,5,22,765,9,5,0
2008,1,3,4,1109,1055,1403,1335,399,174,160,147,28,14,957,9,18,0
2008,1,3,4,719,720,1108,1105,438,169,165,148,3,-1,1180,5,16,0
2008,1,3,4,1034,1020,1246,1225,898,132,125,114,21,14,671,4,14,0
2008,1,3,4,1038,1030,1230,1230,300,232,240,217,0,8,1521,6,9,0
2008,1,3,4,616,615,720,720,712,64,65,51,0,1,308,4,9,0
2008,1,3,4,951,955,1223,1240,1940,92,105,76,-17,-4,628,3,13,0
2008,1,3,4,639,640,800,820,1245,81,100,64,-20,-1,405,5,12,0
2008,1,3,4,633,630,934,925,235,121,115,98,9,3,668,6,17,0
2008,1,3,4,1206,1135,1511,1500,976,185,205,156,11,31,1142,21,8,0
2008,1,3,4,1113,1105,1416,1420,154,123,135,104,-4,8,872,6,13,0
2008,1,3,4,912,910,1111,1115,1008,179,185,159,-4,2,1121,3,17,0
2008,1,3,4,848,835,1008,955,95,80,80,64,13,13,405,5,11,0
2008,1,3,4,1051,1035,1246,1215,8,115,100,82,31,16,544,25,8,0
2008,1,3,4,1043,1015,1230,1155,1597,107,100,78,35,28,447,21,8,0
2008,1,3,4,1027,1015,1151,1120,1079,84,65,43,31,12,236,22,19,0
2008,1,3,4,916,915,1054,1050,380,98,95,81,4,1,564,5,12,0
2008,1,3,4,750,750,854,855,501,64,65,49,-1,0,342,4,11,0
2008,1,3,4,850,740,1046,940,1016,236,240,220,66,70,1521,5,11,0
2008,1,3,4,716,715,1130,1120,903,194,185,172,10,1,1407,4,18,0
2008,1,3,4,1013,955,1132,1120,1022,79,85,69,12,18,446,2,8,0
2008,1,3,4,714,710,937,925,1492,143,135,126,12,4,802,4,13,0
2008,1,3,4,908,910,1005,1015,1764,57,65,48,-10,-2,308,3,6,0
2008,1,3,4,911,905,1119,1110,86,128,125,116,9,6,762,6,6,0
2008,1,3,4,1152,1155,1201,1210,573,129,135,116,-9,-3,775,4,9,0
2008,1,3,4,928,930,1500,1510,764,212,220,198,-10,-2,1751,5,9,0
2008,1,3,4,958,1000,1006,1010,63,68,70,51,-4,-2,323,8,9,0
2008,1,3,4,1016,915,1214,1120,1134,118,125,98,54,61,655,6,14,0
2008,1,3,4,832,835,925,935,1776,53,60,46,-10,-3,296,1,6,0
2008,1,3,4,1305,1305,1358,1410,300,53,65,42,-12,0,226,4,7,0
2008,1,3,4,911,845,1232,1220,89,141,155,126,12,26,997,5,10,0
2008,1,3,4,1121,1110,1133,1130,876,72,80,53,3,11,325,5,14,0
2008,1,3,4,630,625,1209,1220,1930,219,235,206,-11,5,1750,4,9,0
2008,1,3,4,652,650,815,815,110,83,85,73,0,2,437,4,6,0
2008,1,3,4,1322,1245,1444,1410,500,82,85,64,34,37,407,3,15,0
2008,1,3,4,634,620,952,950,979,138,150,125,2,14,997,4,9,0
2008,1,3,4,1222,1220,1224,1225,187,62,65,48,-1,2,254,3,11,0
2008,1,3,4,703,705,808,810,7,65,65,48,-2,-2,296,3,14,0
2008,1,3,4,1152,1145,1616,1605,86,144,140,116,11,7,987,4,24,0
2008,1,3,4,1057,1030,1154,1140,1041,57,70,46,14,27,291,2,9,0
2008,1,3,4,630,635,733,730,640,63,55,50,3,-5,255,1,12,0
2008,1,3,4,928,900,929,910,984,61,70,44,19,28,256,5,12,0
2008,1,3,4,701,700,1034,1015,406,153,135,109,19,1,889,5,39,0
2008,1,3,4,1022,1015,1342,1345,348,140,150,123,-3,7,1040,7,10,0
2008,1,3,4,956,955,1157,1205,647,61,70,50,-8,1,325,5,6,0
2008,1,3,4,715,715,809,810,1149,54,55,34,-1,0,178,6,14,0
2008,1,3,4,701,700,823,825,565,82,85,61,-2,1,407,4,17,0
2008,1,3,4,1020,955,1137,1120,555,77,85,68,17,25,423,2,7,0
2008,1,3,4,908,900,1248,1250,128,160,170,151,-2,8,1180,3,6,0
2008,1,3,4,1136,1135,1248,1250,786,72,75,59,-2,1,342,5,8,0
2008,1,3,4,816,815,1339,1340,249,203,205,185,-1,1,1588,4,14,0
2008,1,3,4,1304,1245,1422,1355,1236,78,70,53,27,19,267,7,18,0
2008,1,3,4,712,705,932,915,243,80,70,49,17,7,256,7,24,0
2008,1,3,4,1118,1040,1340,1340,32,202,240,188,0,38,1335,3,11,0
2008,1,3,4,1036,1025,1147,1135,207,131,130,108,12,11,647,6,17,0
2008,1,3,4,1148,1135,1222,1155,259,94,80,58,27,13,338,10,26,0
2008,1,3,4,831,830,1148,1140,534,137,130,123,8,1,888,5,9,0
2008,1,3,4,1302,1250,1412,1405,403,70,75,62,7,12,361,4,4,0
2008,1,3,4,1051,1020,1341,1305,95,110,105,97,36,31,717,4,9,0
2008,1,3,4,1255,1230,1534,1540,186,159,190,145,-6,25,1073,6,8,0
2008,1,3,4,1238,1200,1447,1405,308,69,65,53,42,38,229,9,7,0
2008,1,3,4,630,630,716,715,476,46,45,32,1,0,192,4,10,0
2008,1,3,4,0,845,0,1140,437,0,115,0,0,0,777,0,0,1
2008,1,3,4,1324,1230,1548,1510,169,204,220,193,38,54,1301,5,6,0
2008,1,3,4,623,620,751,745,629,88,85,66,6,3,405,6,16,0
2008,1,3,4,1016,1010,1124,1125,463,68,75,53,-1,6,308,10,5,0
2008,1,3,4,624,625,846,850,1320,82,85,61,-4,-1,487,4,17,0
2008,1,3,4,1301,1300,1422,1415,1655,81,75,65,7,1,337,4,12,0
2008,1,3,4,1328,1325,1422,1425,543,54,60,35,-3,3,178,7,12,0
2008,1,3,4,717,715,836,835,350,79,80,61,1,2,389,5,13,0
2008,1,3,4,825,820,1028,1030,414,63,70,48,-2,5,304,4,11,0
2008,1,3,4,950,925,1107,1050,449,77,85,64,17,25,405,4,9,0
2008,1,3,4,700,700,809,805,1241,69,65,51,4,0,325,2,16,0
2008,1,3,4,630,630,809,805,1163,99,95,73,4,0,446,4,22,0
2008,1,3,4,855,835,1116,1105,561,261,270,247,11,20,1751,5,9,0
2008,1,3,4,730,720,940,925,889,130,125,117,15,10,787,3,10,0
2008,1,3,4,1136,1115,1306,1250,1010,90,95,71,16,21,480,5,14,0
2008,1,3,4,934,935,1453,1505,830,199,210,177,-12,-1,1521,6,16,0
2008,1,3,4,0,1705,0,1810,1219,0,65,0,0,0,325,0,0,1
2008,1,3,4,1038,1010,1259,1230,4,81,80,63,29,28,451,8,10,0
2008,1,3,4,923,910,1222,1210,327,119,120,102,12,13,843,3,14,0
2008,1,3,4,1330,1330,1439,1450,772,69,80,56,-11,0,405,5,8,0
2008,1,3,4,1254,1110,1440,1240,706,106,90,67,120,104,414,6,33,0
2008,1,3,4,1239,1235,1525,1540,940,106,125,94,-15,4,833,3,9,0
2008,1,3,4,1125,1010,1224,1110,1016,59,60,45,74,75,226,5,9,0
2008,1,3,4,1229,1135,1341,1240,891,72,65,49,61,54,325,2,21,0
2008,1,3,4,1143,1050,1641,1600,773,178,190,151,41,53,1372,3,24,0
2008,1,3,4,958,950,1103,1100,1670,65,70,53,3,8,333,5,7,0
2008,1,3,4,617,615,652,650,11,95,95,70,2,2,451,6,19,0
2008,1,3,4,1039,1015,1316,1300,1678,97,105,77,16,24,588,5,15,0
2008,1,3,4,1030,1000,1142,1115,184,72,75,62,27,30,337,3,7,0
2008,1,3,4,1024,1015,1504,1505,304,160,170,148,-1,9,1242,5,7,0
2008,1,3,4,734,730,958,1020,550,324,350,314,-22,4,2283,2,8,0
2008,1,3,4,1234,1220,1447,1425,1317,133,125,111,22,14,758,4,18,0
2008,1,3,4,1059,1055,1224,1235,414,85,100,75,-11,4,507,2,8,0
2008,1,3,4,1221,1040,1353,1210,316,92,90,67,103,101,447,5,20,0
2008,1,3,4,1230,1230,1324,1335,647,54,65,41,-11,0,328,4,9,0
2008,1,3,4,655,655,746,755,864,171,180,159,-9,0,1099,3,9,0
2008,1,3,4,621,615,753,755,491,92,100,77,-2,6,543,4,11,0
2008,1,3,4,749,735,843,830,467,114,115,90,13,14,550,4,20,0
2008,1,3,4,2025,1940,2135,2100,3154,70,80,60,35,45,359,3,7,0
2008,1,3,4,1459,1455,1556,1555,3237,57,60,42,1,4,223,2,13,0
2008,1,3,4,849,835,958,1000,2293,69,85,50,-2,14,336,3,16,0
2008,1,3,4,1450,1425,1549,1520,2353,59,55,43,29,25,248,3,13,0
2008,1,3,4,1404,1305,1518,1435,3691,74,90,61,43,59,377,3,10,0
2008,1,3,4,1925,1750,2045,1910,3919,80,80,61,95,95,423,6,13,0
2008,1,3,4,1448,1410,1707,1655,3316,319,345,305,12,38,2176,5,9,0
2008,1,3,4,1404,1400,1458,1500,3082,114,120,96,-2,4,616,4,14,0
2008,1,3,4,1734,1655,1857,1820,3844,83,85,66,37,39,386,5,12,0
2008,1,3,4,1634,1620,1719,1710,2174,45,50,33,9,14,192,2,10,0
2008,1,3,4,1933,1835,2202,2100,2729,269,265,253,62,58,1728,4,12,0
2008,1,3,4,2057,1955,2321,2215,2975,84,80,65,66,62,468,3,16,0
2008,1,3,4,1422,1350,1721,1725,3516,179,215,164,-4,32,1204,3,12,0
2008,1,3,4,1711,1640,1840,1825,2019,89,105,77,15,31,543,4,8,0
2008,1,3,4,1502,1455,1615,1600,3240,133,125,114,15,7,646,5,14,0
2008,1,3,4,811,755,937,935,2298,206,220,187,2,16,1333,12,7,0
2008,1,3,4,1829,1755,1959,1925,3920,90,90,77,34,34,515,3,10,0
2008,1,3,4,1243,1140,1505,1415,2979,262,275,249,50,63,1750,7,6,0
2008,1,3,4,1338,1320,1536,1525,2377,58,65,49,11,18,344,3,6,0
2008,1,3,4,2014,1935,2143,2055,3915,89,80,60,48,39,405,20,9,0
2008,1,3,4,946,755,1259,1125,3241,193,210,164,94,111,1204,5,24,0
2008,1,3,4,2106,1910,2241,2050,3839,95,100,81,111,116,447,5,9,0
2008,1,3,4,1240,1240,1353,1350,2964,73,70,60,3,0,290,4,9,0
2008,1,3,4,1901,1810,1949,1905,2900,48,55,36,44,51,223,3,9,0
2008,1,3,4,1943,1905,2047,2005,2336,124,120,110,42,38,646,4,10,0
2008,1,3,4,2108,2030,2313,2240,3142,65,70,53,33,38,365,4,8,0
2008,1,3,4,1253,1235,1550,1540,2974,117,125,108,10,18,842,3,6,0
2008,1,3,4,738,730,855,855,2982,77,85,66,0,8,446,2,9,0
2008,1,3,4,1233,1225,1449,1440,3934,136,135,122,9,8,834,6,8,0
2008,1,3,4,1510,1505,1734,1740,3247,144,155,127,-6,5,861,5,12,0
2008,1,3,4,1726,1630,1832,1740,2284,66,70,46,52,56,223,2,18,0
2008,1,3,4,1300,1210,1417,1340,3316,77,90,65,37,50,290,4,8,0
2008,1,3,4,1231,1200,1527,1505,3168,116,125,103,22,31,843,2,11,0
2008,1,3,4,2050,2040,2207,2150,2285,77,70,57,17,10,308,5,15,0
2008,1,3,4,2142,2120,2310,2245,3396,88,85,59,25,22,407,17,12,0
2008,1,3,4,1003,940,1441,1430,3068,158,170,136,11,23,1140,5,17,0
2008,1,3,4,1129,1050,1757,1725,3920,208,215,179,32,39,1591,8,21,0
2008,1,3,4,2100,1945,2255,2150,2991,55,65,43,65,75,256,4,8,0
2008,1,3,4,1150,1140,1644,1640,1776,174,180,147,4,10,1235,3,24,0
2008,1,3,4,1110,1055,1307,1300,2019,57,65,46,7,15,271,4,7,0
2008,1,3,4,1004,935,1142,1135,2639,98,120,86,7,29,723,4,8,0
2008,1,3,4,1355,1305,1451,1410,2361,56,65,44,41,50,251,4,8,0
