State,PERMVIT,COUNTY,CITY,DAY,MONTH,DAY_WEEK,HOUR,MINUTE,LGT_COND,WEATHER,DRUNK_DR,FATALS
1,2,45,2050,7,1,4,7,9,1,1,0,1
1,2,89,1730,8,1,5,18,33,3,1,0,1
1,1,73,350,3,1,7,21,30,2,2,0,1
1,6,95,1500,9,1,6,6,35,1,1,0,1
1,2,81,2340,13,1,3,17,20,3,10,0,1
1,3,121,2910,15,1,5,17,10,2,2,0,1
1,1,73,2052,13,1,3,13,33,1,10,0,1
1,3,3,2890,17,1,7,14,42,1,1,0,1
1,1,1,2540,10,1,7,0,31,2,1,1,1
1,2,123,60,23,1,6,21,22,3,2,1,2
1,10,3,860,15,1,5,14,27,1,10,1,1
1,1,97,2100,27,1,3,16,50,1,1,0,1
1,1,73,350,20,1,3,15,57,1,1,0,1
1,2,73,1716,31,1,7,3,10,3,1,0,1
1,1,97,2100,31,1,7,8,19,1,1,0,1
1,1,17,1830,8,2,1,2,15,6,1,0,1
1,2,97,2100,22,1,5,0,7,2,1,1,1
1,2,73,350,29,1,5,1,15,6,1,0,1
1,5,109,3040,1,2,1,14,38,1,2,0,1
1,3,49,2564,4,2,4,17,52,2,1,0,1
1,3,13,1460,8,2,1,14,40,1,1,0,1
1,7,49,2564,10,2,3,17,39,2,10,0,1
1,3,45,845,1,2,1,3,55,2,1,1,1
1,1,97,2100,4,2,4,0,19,2,1,0,1
1,2,3,2650,31,1,7,10,47,1,1,0,1
1,2,101,2130,8,2,1,1,41,3,10,1,1
1,8,81,200,11,2,4,11,41,1,1,0,1
1,2,97,2100,15,2,1,21,8,3,1,1,1
1,4,95,50,20,2,6,22,30,6,3,0,1
1,1,73,350,22,2,1,19,0,3,1,0,1
1,1,73,350,20,2,6,23,0,2,1,0,1
1,4,73,1710,16,2,2,5,17,3,1,0,1
1,1,81,2340,23,2,2,18,43,2,10,0,1
1,1,125,3050,24,2,3,15,52,1,10,0,1
1,1,3,1210,24,2,3,21,14,2,1,0,1
1,3,125,2260,1,3,1,10,25,1,1,1,1
1,4,89,1730,1,3,1,17,58,3,2,1,1
1,1,97,2550,3,3,3,18,56,2,1,1,1
1,2,73,350,5,3,5,18,25,3,10,0,1
1,4,97,2550,3,3,3,10,52,1,1,0,1
1,3,81,2340,8,3,1,19,10,2,1,0,1
1,15,101,2130,2,3,2,8,7,1,5,0,3
1,2,115,160,18,2,4,7,48,1,10,0,2
1,1,69,930,28,2,7,19,57,3,10,0,1
1,1,101,2130,14,3,7,3,38,3,2,1,1
1,3,3,2650,5,3,5,15,3,1,10,0,2
1,2,77,1200,6,3,6,99,99,2,1,1,1
1,3,15,2325,13,3,6,19,21,2,2,0,1
1,2,3,860,1,4,4,22,49,2,1,1,1
1,2,103,890,8,3,1,4,34,3,1,1,1
1,2,115,160,3,3,3,13,27,1,10,0,1
1,3,51,3270,8,3,1,14,15,1,1,0,1
1,1,89,1970,16,3,2,10,4,1,1,0,1
1,1,63,1213,20,3,6,21,45,2,1,0,1
1,3,49,2564,24,3,3,7,15,1,1,0,1
1,3,97,2100,24,3,3,8,20,1,10,0,1
1,3,89,1970,26,3,5,4,36,3,1,0,1
1,2,73,350,30,3,2,19,15,5,1,0,1
1,4,55,2822,3,4,6,19,50,2,1,0,1
1,4,43,830,3,4,6,11,29,1,10,0,1
1,2,101,2130,23,3,2,0,38,3,1,2,1
1,4,101,2130,24,3,3,19,48,3,1,1,1
1,3,55,1280,24,3,3,20,0,3,1,0,1
1,4,49,2564,28,3,7,20,4,2,1,1,1
1,6,51,3270,6,4,2,17,25,1,2,0,1
1,3,73,350,30,3,2,20,50,2,1,0,1
1,1,97,2716,17,4,6,13,42,1,1,0,1
1,2,101,2130,27,3,6,5,20,3,1,0,1
1,1,127,2400,12,2,5,11,42,1,1,0,1
1,1,73,330,14,3,7,22,9,3,1,0,1
1,3,109,3040,30,3,2,15,27,1,1,0,1
1,1,113,2440,2,4,5,6,5,2,1,0,1
1,2,101,2130,4,4,7,5,50,3,10,0,1
1,1,81,200,10,4,6,3,15,3,10,1,1
1,1,125,718,11,4,7,23,45,2,10,1,1
1,2,51,2940,12,4,1,0,51,2,1,1,1
1,1,19,1852,16,4,5,7,20,1,10,0,1
1,4,5,720,16,4,5,20,5,3,2,0,1
1,1,73,330,18,4,7,21,49,2,2,0,1
1,2,95,50,18,4,7,10,22,1,10,0,1
1,1,47,2760,17,4,6,20,15,3,10,0,1
1,1,73,330,22,4,4,14,38,1,1,0,1
1,4,73,3080,25,4,7,12,50,1,1,1,1
1,1,101,2130,28,4,3,8,11,1,1,0,1
1,2,3,1011,17,4,6,18,39,1,1,1,1
1,3,73,350,22,4,4,9,36,1,1,1,2
1,2,125,3050,25,4,7,20,38,3,10,1,1
1,1,95,400,30,4,5,23,0,2,1,0,1
1,2,73,1716,5,5,3,0,17,2,1,1,1
1,2,101,2130,2,4,5,19,32,3,1,0,1
1,2,17,3111,16,4,5,20,6,3,2,0,1
1,1,125,3050,20,4,2,23,0,2,10,0,1
1,2,77,1200,23,4,5,13,9,1,1,0,1
1,1,17,3111,25,4,7,19,0,1,10,0,1
1,3,55,1370,30,4,5,20,35,2,1,1,1
1,1,73,350,2,5,7,22,30,3,1,0,1
1,5,97,2550,3,5,1,17,43,1,1,0,1
1,1,125,3050,4,5,2,0,50,2,1,1,1
1,3,87,3070,4,5,2,11,0,1,1,0,1
1,7,3,1210,1,5,6,21,7,3,1,1,1
1,1,33,2190,4,5,2,21,6,2,1,0,1
1,2,101,2130,2,4,5,22,23,3,1,1,1
1,1,125,3050,8,5,6,11,15,1,1,0,1
1,3,15,100,4,5,2,6,59,1,1,0,1
1,2,21,700,24,5,1,9,25,1,1,0,1
1,2,17,3111,23,5,7,20,0,1,1,0,1
1,4,101,2130,11,5,2,20,49,3,1,0,1
1,1,101,2130,8,5,6,19,33,1,1,0,1
1,1,113,2440,10,5,1,0,10,2,1,1,1
1,1,131,2490,14,5,5,21,58,2,10,0,1
1,1,97,2550,15,5,6,21,31,2,2,0,1
1,7,19,1852,18,5,2,15,18,1,1,0,1
1,2,15,2370,20,5,4,5,57,1,1,0,1
1,2,55,2822,20,5,4,6,3,1,1,1,1
1,1,97,2100,20,5,4,20,41,5,1,0,1
1,2,117,530,21,5,5,14,0,1,10,0,1
1,2,59,3130,22,5,6,16,55,1,1,0,1
1,1,113,2440,20,5,4,22,7,3,1,0,1
1,4,15,2370,27,5,4,5,25,4,10,0,1
1,2,97,690,26,5,3,14,15,1,1,0,1
1,2,73,350,25,5,2,15,5,1,10,0,1
1,1,3,1493,27,5,4,9,0,1,10,0,1
1,3,89,1730,29,5,6,20,17,3,10,1,1
