Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled
2008,1,3,4,2003,1955,2211,2225,335,128,150,116,-14,8,810,4,8,0
2008,1,3,4,754,735,1002,1000,3231,128,145,113,2,19,810,5,10,0
2008,1,3,4,628,620,804,750,448,96,90,76,14,8,515,3,17,0
2008,1,3,4,926,930,1054,1100,1746,88,90,78,-6,-4,515,3,7,0
2008,1,3,4,1829,1755,1959,1925,3920,90,90,77,34,34,515,3,10,0
2008,1,3,4,1940,1915,2121,2110,378,101,115,87,11,25,688,4,10,0
2008,1,3,4,1937,1830,2037,1940,509,240,250,230,57,67,1591,3,7,0
2008,1,3,4,1039,1040,1132,1150,535,233,250,219,-18,-1,1591,7,7,0
2008,1,3,4,617,615,652,650,11,95,95,70,2,2,451,6,19,0
2008,1,3,4,1620,1620,1639,1655,810,79,95,70,-16,0,451,3,6,0
2008,1,3,4,706,700,916,915,100,130,135,106,1,6,828,5,19,0
2008,1,3,4,1644,1510,1845,1725,1333,121,135,107,80,94,828,6,8,0
2008,1,3,4,1426,1430,1426,1425,829,60,55,39,1,-4,162,9,12,0
2008,1,3,4,715,715,720,710,1016,65,55,37,10,0,162,7,21,0
2008,1,3,4,1702,1700,1651,1655,1827,49,55,35,-4,2,162,4,10,0
2008,1,3,4,1029,1020,1021,1010,2272,52,50,37,11,9,162,6,9,0
2008,1,3,4,1452,1425,1640,1625,675,228,240,213,15,27,1489,7,8,0
2008,1,3,4,754,745,940,955,1144,226,250,205,-15,9,1489,5,16,0
2008,1,3,4,1323,1255,1526,1510,4,123,135,110,16,28,838,4,9,0
2008,1,3,4,1416,1325,1512,1435,54,56,70,49,37,51,220,2,5,0
2008,1,3,4,706,705,807,810,68,61,65,51,-3,1,220,3,7,0
2008,1,3,4,1657,1625,1754,1735,623,57,70,47,19,32,220,5,5,0
2008,1,3,4,1900,1840,1956,1950,717,56,70,49,6,20,220,2,5,0
2008,1,3,4,1039,1030,1133,1140,1244,54,70,47,-7,9,220,2,5,0
2008,1,3,4,801,800,902,910,2101,61,70,53,-8,1,220,3,5,0
2008,1,3,4,1520,1455,1619,1605,2553,59,70,50,14,25,220,2,7,0
2008,1,3,4,1422,1255,1657,1610,188,155,195,143,47,87,1093,6,6,0
2008,1,3,4,1954,1925,2239,2235,1754,165,190,155,4,29,1093,3,7,0
