State,PERMVIT,DAY,MONTH,LGT_COND,WEATHER,DRUNK_DR,FATALS
1,2,7,1,1,1,0,1
1,2,8,1,3,1,0,1
1,1,3,1,2,2,0,1
1,6,9,1,1,1,0,1
1,2,13,1,3,10,0,1
1,3,15,1,2,2,0,1
1,1,13,1,1,10,0,1
1,3,17,1,1,1,0,1
1,1,10,1,2,1,1,1
1,2,23,1,3,2,1,2
1,10,15,1,1,10,1,1
1,1,27,1,1,1,0,1
1,1,20,1,1,1,0,1
1,2,31,1,3,1,0,1
1,1,31,1,1,1,0,1
1,1,8,2,6,1,0,1
1,2,22,1,2,1,1,1
1,2,29,1,6,1,0,1
1,5,1,2,1,2,0,1
1,3,4,2,2,1,0,1
1,3,8,2,1,1,0,1
1,7,10,2,2,10,0,1
1,3,1,2,2,1,1,1
1,1,4,2,2,1,0,1
1,2,31,1,1,1,0,1
1,2,8,2,3,10,1,1
1,8,11,2,1,1,0,1
1,2,15,2,3,1,1,1
1,4,20,2,6,3,0,1
1,1,22,2,3,1,0,1
1,1,20,2,2,1,0,1
1,4,16,2,3,1,0,1
1,1,23,2,2,10,0,1
1,1,24,2,1,10,0,1
1,1,24,2,2,1,0,1
1,3,1,3,1,1,1,1
1,4,1,3,3,2,1,1
1,1,3,3,2,1,1,1
1,2,5,3,3,10,0,1
1,4,3,3,1,1,0,1
1,3,8,3,2,1,0,1
1,15,2,3,1,5,0,3
1,2,18,2,1,10,0,2
1,1,28,2,3,10,0,1
1,1,14,3,3,2,1,1
1,3,5,3,1,10,0,2
1,2,6,3,2,1,1,1
1,3,13,3,2,2,0,1
1,2,1,4,2,1,1,1
1,2,8,3,3,1,1,1
1,2,3,3,1,10,0,1
1,3,8,3,1,1,0,1
1,1,16,3,1,1,0,1
1,1,20,3,2,1,0,1
1,3,24,3,1,1,0,1
1,3,24,3,1,10,0,1
1,3,26,3,3,1,0,1
1,2,30,3,5,1,0,1
1,4,3,4,2,1,0,1
1,4,3,4,1,10,0,1
1,2,23,3,3,1,2,1
1,4,24,3,3,1,1,1
1,3,24,3,3,1,0,1
1,4,28,3,2,1,1,1
1,6,6,4,1,2,0,1
1,3,30,3,2,1,0,1
1,1,17,4,1,1,0,1
1,2,27,3,3,1,0,1
1,1,12,2,1,1,0,1
1,1,14,3,3,1,0,1
1,3,30,3,1,1,0,1
1,1,2,4,2,1,0,1
1,2,4,4,3,10,0,1
1,1,10,4,3,10,1,1
1,1,11,4,2,10,1,1
1,2,12,4,2,1,1,1
1,1,16,4,1,10,0,1
1,4,16,4,3,2,0,1
1,1,18,4,2,2,0,1
1,2,18,4,1,10,0,1
1,1,17,4,3,10,0,1
1,1,22,4,1,1,0,1
1,4,25,4,1,1,1,1
1,1,28,4,1,1,0,1
1,2,17,4,1,1,1,1
1,3,22,4,1,1,1,2
1,2,25,4,3,10,1,1
1,1,30,4,2,1,0,1
1,2,5,5,2,1,1,1
1,2,2,4,3,1,0,1
1,2,16,4,3,2,0,1
1,1,20,4,2,10,0,1
1,2,23,4,1,1,0,1
1,1,25,4,1,10,0,1
1,3,30,4,2,1,1,1
1,1,2,5,3,1,0,1
1,5,3,5,1,1,0,1
1,1,4,5,2,1,1,1
1,3,4,5,1,1,0,1
1,7,1,5,3,1,1,1
1,1,4,5,2,1,0,1
1,2,2,4,3,1,1,1
1,1,8,5,1,1,0,1
1,3,4,5,1,1,0,1
1,2,24,5,1,1,0,1
1,2,23,5,1,1,0,1
1,4,11,5,3,1,0,1
1,1,8,5,1,1,0,1
1,1,10,5,2,1,1,1
1,1,14,5,2,10,0,1
1,1,15,5,2,2,0,1
1,7,18,5,1,1,0,1
1,2,20,5,1,1,0,1
1,2,20,5,1,1,1,1
1,1,20,5,5,1,0,1
1,2,21,5,1,10,0,1
1,2,22,5,1,1,0,1
1,1,20,5,3,1,0,1
1,4,27,5,4,10,0,1
1,2,26,5,1,1,0,1
1,2,25,5,1,10,0,1
1,1,27,5,1,10,0,1
1,3,29,5,3,10,1,1
1,3,29,5,3,1,0,1
1,3,31,5,1,10,1,1
1,2,4,6,6,10,0,1
1,4,15,6,2,1,1,1
1,1,28,4,2,10,0,1
1,7,30,5,1,1,0,1
1,2,1,6,1,5,0,1
1,1,2,6,3,1,0,1
1,1,5,6,2,1,0,1
1,2,6,6,1,1,0,1
1,1,8,6,4,99,0,1
1,1,11,6,1,10,0,1
1,2,14,6,3,1,0,1
1,2,12,6,2,10,1,1
1,4,14,6,3,1,2,1
1,7,6,6,2,10,1,1
1,5,14,6,2,1,0,2
1,1,20,6,1,10,0,1
1,1,21,6,2,10,1,1
1,1,20,6,3,1,1,1
1,1,23,6,1,1,1,1
1,2,14,6,1,1,1,1
1,2,21,6,1,1,0,1
1,2,26,6,1,1,0,1
1,1,26,6,2,10,0,1
1,2,25,6,1,5,0,1
1,18,2,7,1,1,0,1
1,2,1,7,1,1,0,1
