a1,a2
-1018,154
-801,979
-708,959
-1686,1515
-259,1499
90,1435
165,931
-594,881
90,1032
-318,1498
-890,468
-416,1496
-354,573
-573,782
-804,499
-2,697
-1310,765
-838,906
-510,211
-596,1303
-638,586
-546,-308
133,705
-611,357
-523,1312
-327,1222
88,851
163,1185
-367,1045
-282,1139
-1659,1622
-1645,-225
-550,1664
-614,-321
-787,1249
-710,1118
-135,1441
-1011,-119
-649,777
-556,-331
186,969
-84,1044
47,873
-739,7
-791,1125
-477,1071
-64,198
-417,1480
-102,954
144,1273
-998,-401
239,1351
-421,0
-1178,-348
-684,1421
-884,686
-263,1498
-1701,1459
-350,1181
179,1170
-972,-51
-305,459
-618,1267
-751,447
-252,125
-904,-245
-1052,71
-178,1422
-370,-186
-357,1072
-130,1544
-1171,-359
-581,1433
-818,704
-394,892
72,1022
-182,288
-671,959
-632,1057
-893,821
-606,1167
-628,1227
30,1430
337,1276
-420,857
-848,693
107,1219
-602,1572
-2125,-199
-439,600
-834,956
-239,663
214,1406
-692,-116
-45,687
-36,485
-457,1628
-325,1149
-267,1127
-95,-168
39,515
-501,1131
38,1114
3,1372
-266,658
-848,214
50,1481
226,1376
-65,902
-113,778
-345,1394
-393,728
123,1037
-257,1077
-119,291
148,1174
-371,-106
-261,1343
-538,1028
-729,1449
-448,1335
-803,192
-672,505
-284,993
-153,717
-842,35
-393,697
-3,630
-884,-593
-538,-1947
-499,-2302
-1441,-1197
-305,-296
-938,-785
-50,-1248
224,-1420
-413,-2252
-255,-1833
927,-1247
561,-1617
-139,-1786
195,-590
-576,-1225
-118,-1322
-1574,-2134
-643,-2275
-1370,-1838
614,-966
-133,-516
270,-2249
-103,-278
80,-648
582,-1247
-770,-2233
-650,-749
-788,-1809
158,-2019
286,-2593
344,-656
-625,-1130
270,-1522
-1320,-943
-1256,-780
-635,-2272
553,-1435
-410,-1532
-172,-1570
-124,-1602
487,-1566
-1391,-1916
559,-1438
-730,-2160
-1453,-1456
603,-1893
-741,-986
121,-1494
-332,-463
60,-1830
450,-1932
-457,-793
509,-1424
315,-1699
-1150,-716
341,-2164
153,-1675
-672,-1390
-261,-2180
-1250,-792
-1236,-1771
-967,-502
-1155,-732
-600,-683
-856,-1599
502,-1842
135,-2028
-1219,-1243
-573,-591
-1319,-2004
-172,-1694
-1729,-507
-903,-1028
-1286,-2494
-529,-1756
-1185,-1337
689,-2268
-265,-1651
-1031,-1295
1416,-1238
-276,-948
-1580,-2039
279,-1902
-1201,-1081
-783,-1329
-71,-2423
-389,-1992
24,-2547
618,-907
1219,-1277
-282,-1286
-1193,-2121
-1196,-1083
-479,-2158
380,-1847
683,-1266
-769,-1614
40,-646
207,-1436
-1147,-1796
639,-1463
-651,-1648
-448,-2334
-1094,-1271
-1040,-1895
-2389,-1317
-246,-1750
-869,-1148
-661,-674
663,-1548
-165,-884
-324,-2356
135,-412
-130,-606
-626,-1952
-1023,-1567
319,-885
-557,-411
604,-1512
-1128,-826
281,-897
-233,-2370
-407,-910
29,-1205
-935,-2308
-1108,-1733
-762,-819
-1083,-477
918,105
428,236
1311,1049
1118,805
376,1202
204,750
406,335
307,1129
1057,-459
1237,747
790,821
1365,766
1094,1229
634,1351
1035,24
596,743
263,-423
1219,1157
1120,-173
315,600
1034,929
919,1074
1105,1182
146,156
457,-304
290,1128
1123,696
474,1223
676,984
1422,841
403,85
441,218
518,-681
1100,-259
415,-371
1318,292
751,1263
527,671
957,-1091
649,1062
519,-228
807,19
183,-40
1379,560
487,-595
191,383
764,611
811,436
494,355
525,-341
701,400
779,875
785,998
1030,1037
501,1094
59,-107
809,946
246,355
1179,905
586,1100
743,273
648,1182
540,876
1167,1128
1199,995
544,1359
704,1217
1315,671
295,809
602,1217
1075,872
712,570
224,15
796,44
392,1310
952,803
562,657
1114,1053
522,618
1056,-340
957,852
1009,764
1042,73
885,-777
836,668
721,857
673,1213
770,482
298,610
285,1131
255,403
338,420
344,976
312,82
485,-324
1153,321
794,483
748,313
973,970
900,-144
680,-523
397,789
1369,1119
916,274
866,502
1257,1199
685,300
339,352
642,903
1230,1176
937,1147
747,991
545,388
905,1143
1094,602
486,1327
96,-203
757,-482
1438,770
1163,840
647,1145
153,531
1263,-128
1288,121
942,-991
316,434
941,1156
527,287
800,1181
471,961
584,1152
428,1195
870,600
707,1283
208,251
807,897
1144,613
45,-217
1021,745
1722,-440
837,172
1161,602
