a1,a2
1081,-795
1031,-779
219,-930
-1181,488
-540,455
-1257,-107
-767,702
-514,370
-451,-377
1325,212
183,-758
495,-927
2723,272
1135,-705
200,302
854,-285
-832,-33
-47,-935
-816,-491
-1182,-558
1457,266
1010,592
-1386,-97
-1073,-856
497,-1079
-1133,322
-1289,-172
1954,36
-655,-284
1725,1452
-838,-703
458,-1267
100,971
-1439,-725
-777,349
-1021,-575
1966,-1651
-739,-919
-867,-391
1697,-1415
-155,-435
-419,-56
722,-771
-1183,536
1801,-1863
-739,892
-196,207
-1345,-386
1418,-1897
-1572,-582
2128,-1293
-242,-642
-666,991
-49,-867
-738,-539
39,-143
9,945
-884,876
-388,-842
555,1255
-1364,548
-155,537
1052,443
922,-780
-1080,-318
1356,-825
2166,-738
-167,2234
-1399,380
1188,-562
1419,1579
-1113,1030
-887,-286
-361,1029
25,792
-1197,1272
2653,-130
-631,-918
1001,527
-1478,44
995,304
-899,648
-1053,-5
-1288,652
1952,82
-1089,793
-670,1241
-621,-424
359,-573
-1055,502
-761,559
2389,-17
1170,-1541
-1105,48
-315,-408
1894,-1838
1727,1451
-1089,-10
-1224,806
1264,-158
2079,-1153
-833,743
-912,-135
1430,-1147
940,-1174
604,-186
1062,1115
-741,425
-1616,-294
-261,1054
325,1566
2492,-38
517,527
2380,-211
-420,943
-300,-294
-1140,-12
-594,335
-817,125
1015,336
673,285
-614,-276
-383,680
-959,147
-106,-27
-864,-103
-1006,-780
417,-1100
-447,-44
-950,604
-832,796
2220,-610
464,-1232
-689,48
-507,1922
-625,1981
1524,-1337
-409,873
-1156,1153
-160,1004
81,422
139,25
-1501,-259
1798,-971
2321,-174
-1494,121
611,-1329
290,-190
2464,-314
1327,1616
-962,1312
-1424,-91
-630,636
1107,-1245
58,-914
848,-1471
1199,-104
-1213,-266
1085,504
1602,-923
-178,-557
13,868
542,215
-495,-1064
-610,1098
1254,202
985,101
-657,755
1749,304
-1031,-357
-851,589
310,-677
-592,-224
-1340,340
341,-129
194,-796
-141,1799
-404,250
-951,-180
-1234,299
1465,-337
-1512,204
-685,681
-1036,1011
769,-425
1095,159
-328,-663
-332,176
535,-60
523,-619
2117,-168
-1297,-752
756,-1224
1994,-1153
-1342,-107
-940,-496
1252,-1080
-929,1279
1623,-1865
1643,-1564
1994,-938
2561,536
768,-422
1362,472
1479,-1286
409,-889
366,869
-1347,-537
-1099,473
-1253,-186
-1365,449
-1081,1274
-388,2302
1330,-1402
295,717
-947,372
-1286,498
453,-1517
-1256,-798
-726,1152
-414,-1092
1478,-297
-934,-399
-952,1215
-300,-309
-661,337
-582,-357
-794,1951
-1469,-773
-413,-230
-1118,1100
670,-936
882,-436
-595,469
1066,-1568
-723,1087
-849,812
1157,159
-544,1951
-838,-134
-453,97
799,-1305
-711,-291
-848,310
-282,1914
703,-655
1210,-1491
-1318,-634
-1362,-304
-323,38
-835,1967
-808,-144
2284,-638
1140,-204
-507,-462
-1052,-663
945,-755
-1208,-231
-1259,690
-652,-494
2173,-436
-880,1080
-345,-144
-1254,-357
553,-778
2096,-408
-1212,-57
89,917
-400,6
-719,310
-1466,-704
-1239,-863
-1342,293
-610,1877
-1377,-645
-745,1247
2144,-171
-980,-439
108,993
-978,1115
3008,264
1133,-1660
1264,-193
-414,-1104
-492,613
-444,506
2161,-105
-181,-68
-256,153
-801,49
197,-771
-1208,-481
-127,359
1917,-1566
-883,1206
-1304,110
-1155,1045
1213,-581
263,445
-1272,886
-1443,-388
-1238,738
32,494
-315,-667
-583,1025
-652,695
-1152,-74
-576,489
733,-1560
528,-1060
-1132,90
-719,1040
-437,1693
-862,1082
-213,1881
827,-972
1552,-151
-184,-536
1632,1014
-487,42
1373,-1558
-934,172
-332,411
-1116,-15
-401,418
-35,64
407,-1139
1423,-23
1662,-1070
-710,489
-237,-113
-740,-105
1211,370
2399,-373
2140,80
-711,811
-611,-737
-440,-276
1475,971
1737,-343
1249,1150
1120,-246
1530,-1630
-1171,221
2248,118
59,-1123
-634,59
-905,634
880,848
-927,-838
-1363,-76
-987,1161
-1425,480
2352,-100
-1082,979
-810,1157
95,1452
-1360,-372
279,-749
-1114,974
1362,-586
866,1182
1916,259
523,-801
1328,-337
-775,391
-1490,-174
-1464,-158
1102,-1741
1882,141
1499,-711
-970,-291
-380,-166
-1187,-719
-154,988
2717,320
-1257,398
1739,-389
-643,-424
132,604
-577,987
-764,240
-706,-1056
-1635,-587
-415,-521
914,-1079
-875,251
-922,-106
1242,-618
1890,-28
-118,-596
-1073,1917
-744,813
-598,944
751,-447
-1092,754
-1151,-257
-70,-743
-425,1918
