a1,a2
1299,-308
1248,-312
541,-770
-1269,93
-665,262
-1135,-510
-960,449
-616,209
-291,-490
1119,758
445,-620
800,-666
2195,432
1317,-197
71,408
889,81
-757,-302
293,-874
-590,-726
-907,-911
1222,866
686,1010
-1257,-547
-697,-1158
856,-803
-1163,-56
-1142,-589
1764,848
-517,-466
1009,2004
-534,-929
889,-995
-268,1021
-1081,-1156
-852,95
-751,-875
2439,-772
-362,-1098
-675,-642
2102,-652
8,-444
-375,-173
956,-430
-1250,135
2362,-1038
-987,648
-261,161
-1118,-806
2017,-1216
-1256,-1076
2456,-361
2,-669
-950,773
266,-812
-502,-734
85,-91
-339,962
-1117,584
-62,-904
17,789
-1458,90
-341,504
779,877
1146,-358
-900,-649
1566,-225
2270,196
-1020,1979
-1434,-86
1311,-44
689,2000
-1368,665
-730,-559
-696,913
-269,820
-1494,904
2444,1026
-263,-1065
703,943
-1394,-447
793,724
-1061,350
-985,-346
-1420,223
1748,889
-1282,433
-1027,1027
-433,-587
543,-384
-1160,149
-908,308
2178,991
1657,-978
-1052,-312
-151,-474
2440,-980
1012,2004
-1007,-368
-1364,399
1224,377
2357,-245
-1032,469
-809,-410
1754,-501
1308,-724
630,85
533,598
-845,182
-1375,-816
-617,972
-300,723
2268,1029
276,755
2247,807
-719,808
-180,-356
-1058,-376
-678,147
-796,-143
798,764
511,578
-480,-452
-599,519
-949,-160
-92,-34
-776,-370
-663,-1059
790,-855
-406,-171
-1096,289
-1047,522
2272,345
883,-962
-665,-168
-1067,679
-1144,622
1912,-645
-688,743
-1423,791
-511,959
-82,482
117,112
-1308,-747
2029,-186
2174,817
-1436,-375
1056,-995
338,-41
2347,754
593,1999
-1288,1019
-1295,-556
-809,427
1490,-724
383,-799
1330,-1035
1139,402
-1039,-646
793,951
1828,-221
28,-563
-307,891
420,457
-81,-1155
-936,900
1060,720
863,521
-880,535
1471,1016
-840,-670
-1000,308
535,-502
-478,-393
-1364,-109
363,37
468,-654
-774,703
-469,129
-829,-477
-1256,-107
1478,283
-1475,-296
-876,456
-1291,673
873,-80
944,622
-70,-720
-378,83
518,181
714,-364
2002,725
-943,-1143
1154,-842
2278,-280
-1213,-540
-705,-758
1564,-511
-1253,992
2197,-1109
2107,-815
2197,-71
2095,905
871,-78
1047,1027
1852,-614
704,-661
9,1022
-1065,-951
-1191,106
-1104,-588
-1405,-8
-1384,944
-1190,1977
1755,-785
0,841
-986,51
-1370,66
975,-1225
-888,-1172
-1044,919
4,-1150
1475,328
-735,-674
-1255,919
-173,-372
-739,123
-422,-517
-1224,487
-1093,-1220
-306,-339
-1387,742
968,-604
980,-46
-724,279
1569,-1042
-1019,849
-1021,506
969,613
-1081,599
-739,-395
-462,-37
1224,-901
-563,-502
-905,31
-892,542
896,-327
1676,-913
-1003,-1022
-1163,-738
-318,-49
-1282,593
-709,-390
2336,347
1128,282
-312,-593
-748,-974
1159,-324
-1044,-619
-1399,271
-437,-669
2158,494
-1161,798
-273,-234
-1045,-749
800,-501
2079,487
-1112,-448
-257,965
-381,-106
-785,76
-1114,-1160
-848,-1219
-1334,-156
-1140,707
-1054,-1072
-1089,1013
1993,730
-763,-725
-269,1045
-1257,803
2439,606
1666,-1105
1238,342
9,-1164
-674,429
-597,366
2008,803
-150,-102
-302,86
-769,-206
462,-631
-952,-850
-253,339
2359,-707
-1197,929
-1255,-319
-1401,674
1316,-59
76,575
-1474,467
-1207,-844
-1402,327
-153,534
-57,-718
-885,831
-849,481
-1051,-445
-711,300
1255,-1164
879,-774
-1069,-288
-1013,807
-996,781
-1158,799
-843,619
1128,-577
1483,499
17,-548
1046,601
-476,-102
1853,-916
-934,-135
-459,311
-983,-368
-525,291
-60,82
794,-893
1310,572
1932,-336
-835,256
-205,-169
-662,-324
958,871
2332,660
1911,967
-937,574
-309,-889
-316,-390
959,782
1724,392
686,653
1128,234
2026,-921
-1172,-167
1998,1050
462,-1009
-608,-146
-1064,335
439,224
-568,-1085
-1244,-519
-1266,849
-1487,1
2177,898
-1273,625
-1125,899
-474,840
-1136,-796
532,-582
-1292,610
1478,3
349,920
1641,1039
780,-535
1323,219
-864,136
-1327,-660
-1307,-633
1665,-1188
1650,912
1655,-58
-807,-588
-299,-267
-852,-1065
-501,946
2257,668
-1286,-23
1739,348
-452,-605
-102,679
-880,795
-803,-8
-282,-1215
-1313,-1112
-205,-613
1248,-642
-909,-35
-828,-393
1382,-72
1730,758
102,-583
-1378,434
-964,563
-882,748
864,-108
-1272,393
-970,-612
198,-696
-1001,624
