a1,a2
-280,1030
328,965
-1207,1592
762,1332
342,1214
88,809
-320,2386
-233,1055
-1082,1705
52,1444
-367,781
295,858
-470,2253
-150,1045
541,575
302,1019
50,1093
-447,600
-1136,1656
-7,-2008
400,1446
406,612
-291,93
425,1099
-360,108
182,668
-21,1013
412,1612
384,962
43,1221
278,978
534,677
264,957
-45,1178
386,1621
395,1021
-484,6
416,1064
375,1423
-5,604
274,827
-784,1973
230,1192
457,765
-312,1039
209,1170
82,1245
174,1320
645,1182
-343,208
351,1589
51,653
-316,1110
304,1648
490,695
-320,97
746,1183
334,1329
192,776
-722,152
163,914
-212,1129
387,1172
570,1115
239,436
819,823
-365,631
-159,21
857,1029
-1047,481
63,972
-339,248
-150,852
-349,228
212,1415
633,1181
409,411
547,582
103,1169
-586,342
28,1220
153,1381
298,646
-862,377
1028,944
503,1542
-126,1290
539,1585
949,853
725,1275
310,698
548,1115
-676,498
392,405
856,1254
233,1106
-179,-107
689,850
-179,939
-97,993
231,1453
-1197,276
-91,757
139,584
748,773
728,967
218,546
-773,691
-1051,351
700,681
309,328
636,788
708,1213
707,919
487,1361
570,1336
346,1480
225,459
600,1522
-67,1286
318,1064
677,709
-52,412
579,938
-640,289
25,1002
-439,847
-127,969
-1579,-490
-159,-1026
-1076,11
-1406,-279
-1195,-1310
-1881,-1036
-411,-379
-562,-811
-914,-1506
-512,-213
-528,-216
-1800,-249
-430,-1522
-810,-167
-1178,130
-831,-151
-1212,13
-2083,-851
-1585,-1140
-1900,-1227
-1281,-180
-479,-913
-459,-198
-1170,-548
-318,-1660
-451,-150
-1000,-199
-1158,-583
-2025,-633
-2023,-386
-711,-1711
-1948,-1480
-2007,-379
-2219,-914
-737,-498
-532,-1937
-1309,-118
-1051,-683
-335,-1122
-201,-871
-960,-1159
-951,-891
-1324,-752
17,-1119
-1138,-1385
-1434,-1453
-988,-1697
-806,-1480
-2282,-857
-1677,-873
-1491,-1503
-1396,-31
-130,-1445
-78,-955
-330,-566
-335,-1512
-696,-1590
-1103,-1306
-533,-367
-1507,-1844
-1108,-2373
-1193,-130
-1590,-482
-461,-1896
-1773,-1280
-2051,-853
-1185,-411
-1666,-1056
-143,-1165
-600,-1332
-921,-2174
-1602,-843
-606,-2134
-1127,-2470
-1537,-1054
-1655,-1032
-13,-787
-1601,-1526
-1792,-842
-2109,784
-1000,-1026
-1644,-1713
-465,-1185
-673,-570
-578,-665
-1497,-187
-1286,-1444
-400,-361
-117,-429
-1999,-1207
-1149,-1222
-294,-753
-87,-966
-1364,-433
-1583,-1150
-1768,-929
-2053,-1369
-1149,-1106
-2107,-552
-1152,-1887
-892,-733
-773,-1099
-2159,-900
-1308,-913
-106,-1172
-164,-1289
-1456,-1781
-1123,-1394
-1146,-714
-1889,-560
-1434,-1152
-649,-619
-1773,-1046
-2106,-1088
-1217,-139
-7,-1452
-634,-1418
-1126,-181
-981,-625
-1404,-1977
-362,-665
-924,-58
-654,-233
-1001,-2041
-904,50
27,-1211
-477,-2004
-1120,-1653
965,-214
1271,58
239,-172
1227,375
495,345
1291,706
1246,-525
1753,129
1309,363
1252,35
701,-791
858,499
910,-160
1320,362
1673,100
1284,-309
1692,65
-10,-132
1216,620
384,118
376,195
1006,651
692,-921
1611,-197
434,346
289,-224
800,509
936,521
823,-428
314,-1136
806,-300
1020,-638
1706,260
805,578
1423,356
752,525
170,17
356,-94
1660,238
904,-92
1092,658
983,-446
494,-735
602,-79
721,-404
1304,491
487,-593
202,-505
1255,14
1066,375
1401,83
128,-201
1567,428
863,414
888,-501
-41,-622
624,81
157,-476
340,107
1116,133
-583,449
1103,-232
1211,797
1711,62
1185,557
1295,283
1112,18
700,-413
1080,765
799,78
205,-536
729,159
1259,447
1704,69
1234,248
1493,-82
956,-376
1066,-476
1165,896
955,404
1445,355
-117,-416
910,-810
451,195
848,-833
621,-232
517,-174
1487,98
18,-947
499,129
968,512
308,-502
1385,404
1135,-411
673,-130
1586,399
1132,125
1047,618
598,221
1251,410
388,-176
1240,142
-234,458
529,31
748,292
28,822
389,1
446,289
1554,-161
1358,511
650,-17
389,-617
1342,-220
766,-207
895,588
29,-339
1184,-576
248,25
1598,-108
529,-488
84,-803
1130,-294
1233,676
1601,327
522,137
1016,-333
1239,-138
882,359
129,-147
432,335
-77,736
325,-124
1673,255
1370,16
219,-24
1444,-336
488,-82
1163,-173
866,290
548,-653
1030,373
1765,63
