a1,a2
-1110,-645
1855,-1230
-975,-113
-655,-1057
-918,784
-1155,-945
-1062,-870
1932,-834
-925,397
1233,-923
-426,429
2212,787
-53,478
1955,173
1700,-688
-956,342
551,-694
-505,-617
-1019,970
1150,741
914,-345
-57,-366
-683,111
-662,116
893,108
1064,-1016
-231,65
-719,895
-126,-958
975,-131
1942,-592
286,291
217,104
-1148,739
2480,540
-705,724
1089,217
-258,698
-433,682
-1331,749
116,-590
1153,213
106,744
-481,814
-1047,-1063
14,-1210
-437,27
369,320
1090,704
-657,-911
-354,-1101
-1291,-505
-852,522
725,-274
-1347,80
-1297,602
-356,389
-1383,-170
795,-938
-65,534
-972,-700
448,180
-1121,304
726,-671
-688,-624
572,562
1765,655
1003,-65
2274,-400
-993,882
-1048,311
1336,-222
625,1988
2458,880
-692,-316
-1303,-1044
-1375,342
-1307,-1086
-1060,890
1844,187
-591,-736
-53,40
193,-608
2187,459
1340,870
367,-681
-313,505
128,377
735,811
-463,-48
800,-517
-1047,-92
2299,308
895,-367
-1119,-501
1256,-53
25,-1196
-556,516
-980,818
799,-875
393,-807
-1166,116
2375,-283
215,1020
-590,-266
-1100,877
1076,897
-991,-357
1951,460
733,432
1317,-331
-578,-1028
-1180,970
106,-98
-314,-872
-576,616
2374,671
-191,-617
-1254,446
-1311,-350
-1295,-1081
2365,722
759,775
-1169,-1047
167,256
994,531
-713,598
217,-113
-793,-583
1262,-483
-687,815
-895,-770
2278,-781
2479,340
-1320,1991
-665,-644
-1342,328
-156,-376
-356,-173
-1012,-833
-210,542
-1125,764
2015,-901
-959,607
1589,-1030
-904,-252
1683,887
481,-1179
-648,-309
2217,-968
-603,998
1615,513
-962,679
644,-346
-1229,742
1869,950
-838,1015
-912,-105
2449,-97
-1113,760
-924,51
201,1032
-763,-360
2284,155
-1177,909
2285,-364
460,175
1421,-1100
241,574
-247,1989
117,-223
2200,-738
-909,-707
-842,-225
-906,-186
306,952
-1280,-190
-918,-905
1091,97
1843,535
476,-644
1264,-777
981,-1102
-316,437
-844,-1061
-302,-1146
-1418,-549
-456,470
-832,776
1080,1019
1263,-1020
-656,-299
2376,-99
-297,-49
-306,69
-758,-365
-43,-878
-691,-1156
-1035,962
-733,-240
-954,-240
641,676
1254,-948
-515,-311
-903,-494
-1212,124
-762,83
-673,-816
975,-384
-688,489
1850,784
646,622
-1293,-622
-457,153
-160,-288
1332,-66
885,-126
1496,427
-883,-90
-957,659
-744,742
-698,284
-775,-743
-1007,54
-1315,745
-836,-1000
-821,-932
-298,-180
642,153
-1097,-1071
1762,732
1496,-253
-289,-340
-314,-373
-637,-270
-496,1040
894,-33
-768,-721
359,-50
1765,1037
576,774
-833,538
2446,-944
-853,841
-1235,-311
-826,-665
1315,254
-935,-827
-1130,747
18,535
-513,-96
300,148
-756,1016
-1338,691
-907,964
-516,257
-780,-523
1177,-512
-561,202
-1392,207
-437,-626
449,259
1948,-366
-1353,-670
-1046,-402
-568,-1225
-787,66
-1252,1034
828,935
-1408,-926
-58,-90
1402,-449
-323,474
-1075,-414
-484,339
-937,590
1524,999
-1391,809
725,641
1316,-63
2367,193
-1015,927
-685,307
-439,321
1580,-802
-1231,-297
-638,-483
-1399,624
-525,-1188
-687,-366
-701,179
-162,-399
-1307,180
-501,-657
543,169
-1371,564
-1018,889
-1369,388
216,-457
2040,-124
636,1057
-1018,159
-972,824
-881,-1166
-1370,90
-903,583
-1169,-799
-912,466
-1188,-324
-759,-1093
-1306,-711
-1382,-461
-1196,-834
-437,646
-1244,406
1142,-599
-690,508
277,-820
982,-624
141,-134
1615,641
-1096,-438
2361,312
-811,-388
566,-663
1608,948
2117,-401
1520,1101
980,-989
-1207,-609
-1260,449
-905,-1017
805,-1103
1751,378
2104,538
-1457,-109
-692,-386
2041,-496
-1191,1024
-1000,1052
-476,464
-44,-313
-1125,811
-449,-241
1005,-637
1501,900
-892,-966
-160,89
1522,-462
357,-703
185,817
2011,-485
-1130,211
-1301,-347
2360,-380
-681,306
722,-676
187,712
-748,858
-1251,145
-967,38
-709,139
570,-1208
738,1987
-1129,811
1233,653
-1444,874
-1370,691
1680,589
1001,741
-1245,-1188
-990,716
-479,-816
201,-931
23,811
1145,1987
-1133,879
-1425,-221
1409,586
2380,-155
-1165,-389
-1266,-231
-296,-1017
-213,-779
131,-728
1251,355
15,-1171
-813,-471
-1068,-129
-355,83
2115,-1013
-1460,362
-183,666
1171,468
11,-1157
1336,-185
571,-790
1936,303
1945,648
