a1,a2
-1009,884
-968,683
-439,712
191,1079
-940,593
-727,867
-734,2007
-210,268
-840,897
-1394,804
624,1189
-1068,488
-952,194
-476,363
-1312,290
-409,64
-686,503
-531,57
-520,1065
447,1123
-964,317
-1183,674
-999,111
-824,461
-728,1043
-907,391
-52,522
20,755
377,385
-1052,203
-1034,683
-562,394
-1160,376
-779,1056
475,514
-242,1005
-1246,861
-469,85
-1296,180
-460,581
-1378,658
-1450,342
135,432
-385,479
-1090,592
-981,857
-456,671
-569,690
-443,499
11,864
290,698
-1381,533
-885,336
-688,265
-1407,586
-328,441
297,809
-1148,105
-1373,448
-586,421
457,734
-1375,933
-944,38
-502,881
-1268,255
-1477,900
-1355,0
-422,455
-850,1034
-491,707
-1069,749
-1107,304
-818,501
-336,944
-919,916
-909,470
-1334,439
-671,321
-1211,436
-210,100
-1236,811
-1421,228
-1256,435
-1198,308
-934,584
-1043,70
-1359,274
-1256,0
-1138,81
-1014,1039
-1097,1990
-1271,-56
-860,1024
-1002,478
-166,984
207,121
-902,52
-1133,886
-1059,673
-1018,533
-245,958
-324,1000
-908,594
-590,823
-445,287
-623,300
-316,2026
-1454,340
-1136,458
-673,49
-740,95
-503,51
-443,357
-560,194
-668,19
201,587
-1482,1074
220,374
-1279,442
-1145,178
-928,792
-130,131
-1045,372
-1134,164
-805,195
-625,1018
-998,1017
-1015,865
1750,-820
1796,-9
815,797
913,-39
2247,76
2509,-651
1881,-112
1636,93
2421,-388
745,-296
1326,-830
1580,-990
2081,-97
597,-445
1803,-82
818,838
2504,-524
1532,158
934,44
2511,-784
1776,550
2441,-922
1510,274
1486,-610
928,-738
1748,-1009
1529,117
1496,979
2483,251
1815,-176
862,-436
1866,203
1721,158
886,-931
2002,-1018
1612,367
2479,85
1594,-967
333,58
561,350
1172,573
915,97
1365,327
1733,-143
1657,1097
2488,483
1732,-847
604,-469
1735,-883
1142,811
1067,-1103
1060,-1158
1117,-128
1327,-826
982,784
1055,1120
461,329
2265,929
1305,544
1410,1125
863,-790
2411,-426
399,24
1322,1045
1037,-562
2069,-377
2481,479
1178,275
1314,-563
805,-782
905,255
1524,99
2523,-511
816,331
639,709
1885,-98
1141,850
1144,-714
2405,-214
2409,6
1677,723
968,699
640,701
2474,65
1579,562
1759,519
2041,454
1749,-1098
2100,684
1058,-543
2517,-859
581,-286
2009,1095
559,249
2047,2135
1938,913
2093,783
1005,610
1090,-136
394,268
840,51
660,-180
1017,-288
1067,992
2273,-631
1332,1001
1224,728
2074,-19
1464,-772
1003,-156
2038,459
1764,995
1405,-825
787,538
1498,813
1481,1019
2305,466
1307,-974
1485,-406
2256,-586
949,-708
1946,447
1241,826
966,1068
2392,68
1512,792
1399,-774
2084,-354
-456,-449
-1107,-99
-936,-510
-1206,-111
-546,-218
-1391,-628
-979,-1232
-1081,-554
-447,-637
-765,-996
-1147,-334
-613,-1146
468,-1137
-715,-188
-1108,-812
-1142,-1186
201,-950
-1324,-541
-685,-781
-1352,-699
-710,-393
-365,-547
-1139,525
-380,-988
-436,-963
-1283,-423
-1006,-1222
-1239,-399
-1304,-41
-521,-16
-789,-359
-447,-230
-1222,-121
-712,554
-1090,-297
733,-866
-256,-1076
-1028,-1158
-1221,-1100
583,-1152
-916,-234
-1336,-467
-7,-466
-717,-357
-19,-587
-706,-373
-1248,-635
-588,-461
-715,-734
-273,-343
71,-624
94,-1124
-666,-1139
92,-528
-1100,-553
-513,-784
-1196,-324
-148,-109
-419,-370
-101,-67
-1259,-667
-898,-156
-341,-631
-758,-186
-1305,-121
-403,-384
-1200,-390
-169,-342
-1360,-105
-916,-810
541,-955
-1204,-836
13,-1151
-566,-963
-1402,-332
134,-48
-886,-813
170,-82
-554,-250
-117,-357
-409,-641
-488,-308
-1338,-1254
-1295,-686
-1260,-365
-331,-78
-131,-762
-1168,-419
-1406,472
-1262,-163
-1165,-1203
-925,-805
-179,-1026
256,-413
-1097,-614
-858,-1136
274,-815
-693,-716
-1193,-551
-17,-324
-870,-265
-872,-180
630,-721
-861,-23
-1242,-1014
-1368,-970
-1318,530
346,-952
-732,-22
-579,-630
-256,-516
-989,-590
-1204,-1170
-1245,-202
-1335,-482
-369,-646
-1295,-546
-961,-1166
-1002,-242
-224,-1115
-863,-664
-973,-746
-449,-1141
-403,-143
-1035,-129
-300,-712
-1046,-1204
83,-724
82,-195
-931,521
-153,-276
-1359,-685
-1075,-585
-1427,-135
-1253,-362
911,-1153
459,-732
-838,532
-174,-994
21,-833
-1199,-170
-380,-595
