a1,a2
-1104,-707
-905,-727
-779,-203
-935,513
-814,-725
-1653,-264
-2126,-25
-300,-116
-1069,-535
-1130,-1132
-913,957
-1739,-832
-470,-871
-465,-343
-639,-1178
-177,-362
-658,-504
-196,-489
-1134,-168
-902,769
-566,-828
-1652,-935
-382,-922
-657,-650
-1173,-377
-617,-752
-487,107
-1353,501
-233,474
-488,-950
-936,-799
-520,-417
-676,-1003
-1200,-422
-324,609
-996,76
-1149,-966
-208,-420
-535,-1198
-664,-264
-993,-1146
-723,-1301
-349,259
-545,-222
-855,-873
-1072,-686
-746,-232
-813,-331
-582,-271
-789,274
-549,486
-880,-1183
-560,-746
-457,-578
-938,-1193
-494,-179
-651,527
-419,-1070
-803,-1204
-555,-430
-568,678
-1242,-1080
-297,-891
-964,-208
-596,-1147
-1235,-1194
-397,-1322
-535,-264
-1200,-500
-792,-252
-1002,-815
-598,-977
-694,-634
-965,-32
-1109,-607
-690,-730
-786,-1168
-484,-544
-770,-1059
-143,-169
-1098,-964
-613,-1303
-756,-1082
-624,-1061
-809,-724
-356,-977
-639,-1234
-358,-1207
-396,-1067
-1251,-664
-2239,-377
-309,-1235
-1193,-514
-724,-818
-955,143
-39,234
-298,-846
-1139,-834
-922,-822
-780,-819
-951,59
-1016,-2
-808,-694
-929,-314
-386,-337
-466,-503
-2009,356
-723,-1306
-749,-960
-230,-627
-293,-679
-186,-464
-449,-313
-332,-475
-208,-633
-472,368
-1397,-1162
-272,323
-770,-1103
-502,-1063
-996,-655
-149,-83
-639,-892
-470,-1038
-404,-711
-1120,-285
-1226,-655
-1088,-718
1308,1433
567,1709
-481,1017
323,858
624,2165
1380,2203
684,1762
426,1587
1109,2195
512,623
1183,1025
1412,1223
729,1958
605,439
635,1694
-518,1033
1259,2235
326,1508
249,903
1504,2167
39,1864
1612,2061
217,1521
1033,1240
980,670
1482,1377
361,1494
-433,1727
529,2445
724,1679
677,694
391,1840
382,1691
1147,573
1569,1616
150,1658
668,2423
1396,1244
49,346
-146,640
-163,1288
197,900
103,1421
672,1609
-489,1923
308,2540
1327,1407
631,439
1360,1400
-1036,1577
1362,701
1416,678
468,1027
1183,1028
-417,1173
-708,1347
-156,537
-153,2448
-1095,1836
-594,1691
1007,593
1140,2174
107,389
-551,1582
849,824
992,1862
323,2511
108,1208
933,1089
981,539
44,940
380,1482
1252,2257
-51,877
-453,822
669,1772
-431,1348
1023,884
942,2229
737,2299
-146,1823
-343,1133
-445,821
707,2377
-1026,2155
58,1845
210,2086
1571,1353
18,2212
831,851
1576,2152
452,470
-380,2262
-62,620
-1373,2630
-237,2131
-72,2236
-250,1142
461,1001
-122,458
215,816
379,576
581,886
-583,1318
1291,1984
-509,1580
-289,1386
657,1972
1180,1174
457,909
206,2082
-364,1990
1207,1102
1700,558
-282,1677
-476,1726
281,2339
1316,967
832,1300
1240,1981
958,699
187,1993
-377,1436
-690,1247
676,2300
-259,1685
1151,1111
976,1883
304,-570
-221,-1090
217,-1047
-234,-1188
52,-586
183,-1521
876,-1311
209,-1200
480,-618
720,-1029
-11,-1197
909,-927
1226,107
-22,-739
446,-1305
775,-1456
965,-89
127,-1431
544,-888
263,-1506
174,-795
426,-509
-1914,-922
829,-656
789,-703
33,-1357
855,-1334
25,-1308
-331,-1263
-120,-501
119,-861
97,-494
-244,-1228
1268,-1436
-21,-1134
1042,445
949,-564
786,-1335
673,-1506
1273,214
-39,-947
52,-1420
450,-142
137,-791
556,-192
156,-786
238,-1387
271,-699
488,-903
253,-362
617,-115
1099,-243
886,-977
539,-65
206,-1218
597,-723
-34,-1241
69,-152
236,-509
44,-113
264,-1406
-99,-906
503,-512
-35,-779
-257,-1288
254,-497
22,-1266
284,-262
-288,-1338
502,-1119
1071,233
436,-1405
1102,-329
749,-827
-88,-1443
98,114
513,-1090
141,138
86,-603
310,-217
496,-583
157,-557
776,-1671
267,-1448
-13,-1318
-10,-339
692,-350
59,-1243
-1783,-1408
-227,-1329
784,-1484
495,-1126
929,-477
474,122
261,-1237
821,-1162
858,20
484,-878
177,-1308
312,-111
3,-911
-75,-886
876,390
-216,-830
585,-1498
508,-1607
-1866,-1212
1008,47
-179,-706
434,-741
419,-396
273,-1122
747,-1517
-164,-1253
69,-1423
512,-545
140,-1404
817,-1272
-52,-1030
996,-546
380,-1023
423,-1154
952,-768
28,-427
-174,-1031
616,-500
827,-1368
719,-133
220,22
-1915,-602
224,-227
250,-1510
240,-1203
-278,-1414
-15,-1310
1367,532
843,220
-1896,-458
895,-460
800,-225
-186,-1208
459,-538
