Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled
2008,1,3,4,723,720,1007,1000,1157,164,160,147,7,3,1052,5,12,0
2008,1,3,4,931,850,1151,1155,1849,140,185,126,-4,41,992,6,8,0
2008,1,3,4,0,955,0,1110,2109,0,75,0,0,0,361,0,0,1
2008,1,3,4,650,650,748,750,670,58,60,47,-2,0,223,3,8,0
2008,1,3,4,809,800,811,810,1855,62,70,51,1,9,304,2,9,0
2008,1,3,4,600,600,725,720,2113,85,80,67,5,0,361,4,14,0
2008,1,3,4,652,650,805,810,1774,73,80,58,-5,2,386,4,11,0
2008,1,3,4,645,645,640,645,376,55,60,45,-5,0,256,2,8,0
2008,1,3,4,1216,1200,1401,1400,872,225,240,215,1,16,1521,4,6,0
2008,1,3,4,0,910,0,955,326,0,45,0,0,0,192,0,0,1
2008,1,3,4,1203,1155,1314,1310,876,71,75,57,4,8,389,5,9,0
2008,1,3,4,1024,1015,1504,1505,304,160,170,148,-1,9,1242,5,7,0
2008,1,3,4,1039,1040,1132,1150,535,233,250,219,-18,-1,1591,7,7,0
2008,1,3,4,839,820,1058,1040,1690,79,80,65,18,19,468,4,10,0
2008,1,3,4,934,935,1453,1505,830,199,210,177,-12,-1,1521,6,16,0
2008,1,3,4,727,715,757,750,573,90,95,74,7,12,478,2,14,0
2008,1,3,4,911,845,1232,1220,89,141,155,126,12,26,997,5,10,0
2008,1,3,4,1208,1145,1352,1340,555,164,175,152,12,23,1037,5,7,0
2008,1,3,4,715,715,809,810,1149,54,55,34,-1,0,178,6,14,0
2008,1,3,4,616,615,720,720,712,64,65,51,0,1,308,4,9,0
2008,1,3,4,845,845,1001,1000,991,76,75,57,1,0,361,5,14,0
2008,1,3,4,652,650,815,815,110,83,85,73,0,2,437,4,6,0
2008,1,3,4,1324,1315,1457,1440,71,93,85,82,17,9,479,4,7,0
2008,1,3,4,642,630,839,830,2193,177,180,162,9,12,1072,4,11,0
2008,1,3,4,933,925,1048,1105,530,75,100,65,-17,8,488,4,6,0
2008,1,3,4,922,915,0,1050,1069,0,95,0,0,7,480,0,12,0
2008,1,3,4,1229,1155,1633,1555,1079,124,120,91,38,34,758,5,28,0
2008,1,3,4,1323,1245,1452,1400,898,89,75,57,52,38,361,5,27,0
2008,1,3,4,1206,1135,1511,1500,976,185,205,156,11,31,1142,21,8,0
2008,1,3,4,816,815,1339,1340,249,203,205,185,-1,1,1588,4,14,0
2008,1,3,4,847,845,1119,1110,1919,152,145,136,9,2,972,4,12,0
2008,1,3,4,758,800,915,925,612,77,85,65,-10,-2,446,3,9,0
2008,1,3,4,850,850,1000,1000,1396,70,70,51,0,0,318,10,9,0
